name,label_name,lat,lon
Burien Transit Center 1,Burien TC,47.4697113,-122.337379
Burien Transit Center 2,Burien TC,47.4697113,-122.337379
Kent Station,Kent Station,47.38467,-122.2328
Renton Landing,Renton Landing,47.49805,-122.2010
